ID,Explanation,Context,Code,Correct Code
101,"BUG: vecEditMode must be VTT when runtime label copy is used. VECD causes undefined behavior.","SmartVec runtime vector editing","rdi.smartVec().vecEditMode(TA::VECD);

RDI_BEGIN();
rdi.smartVec()
    .label(""LBL_RT"").copyLabel(true).pin(""A"")
    .writeData(""rt"",4,0)
    .execute();
RDI_END();","rdi.smartVec().vecEditMode(TA::VTT);

RDI_BEGIN();
rdi.smartVec()
    .label(""LBL_RT"").copyLabel(true).pin(""A"")
    .writeData(""rt"",4,0)
    .execute();
RDI_END();"
102,"BUG: execute() is missing after DC force setup.","DC force configuration lifecycle","RDI_BEGIN();
rdi.dc().pin(""dig1"").vForce(1 V);
RDI_END();","RDI_BEGIN();
rdi.dc().pin(""dig1"").vForce(1 V).execute();
RDI_END();"
103,"BUG: iClamp limits reversed, causing clamp overflow.","DC clamp configuration","rdi.dc().pin(""VS"").iClamp(20 mA,-20 mA).execute();","rdi.dc().pin(""VS"").iClamp(-20 mA,20 mA).execute();"
104,"BUG: Using read() instead of execute() in measurement chain.","DC measurement execution","RDI_BEGIN();
rdi.dc().pin(""DPS_1"").iMeas().read();
RDI_END();","RDI_BEGIN();
rdi.dc().pin(""DPS_1"").iMeas().execute();
RDI_END();"
105,"BUG: Missing RDI_BEGIN before runtime protocol write.","Protocol runtime write lifecycle","ARRAY_I data(2);
data[0]=1; data[1]=2;
rdi.runTimeVal(""rt"",data);
rdi.protocol().pname(""i2c"").write(0x10,""rt"").execute();","ARRAY_I data(2);
data[0]=1; data[1]=2;
rdi.runTimeVal(""rt"",data);
RDI_BEGIN();
rdi.protocol().pname(""i2c"").write(0x10,""rt"").execute();
RDI_END();"
106,"BUG: getAlarmValue() called without specifying pin name.","DC alarm result retrieval","double v = rdi.id(""a"").getAlarmValue();","double v = rdi.id(""a"").getAlarmValue(""AVI"");"
107,"BUG: Incorrect function casing imeas() instead of iMeas().","DC API naming","rdi.dc().pin(""DPS_1"").imeas().execute();","rdi.dc().pin(""DPS_1"").iMeas().execute();"
108,"BUG: burstUpload end called with wrong scope.","SmartVec burst upload aggregation","rdi.smartVec(""id"").burstUpload().begin();
rdi.smartVec(""id"").readBit(1,1).execute();
rdi.burstUpload.smartVec().end();","rdi.smartVec(""id"").burstUpload().begin();
rdi.smartVec(""id"").readBit(1,1).execute();
rdi.smartVec().burstUpload().end();"
109,"BUG: Pin name mismatch between capture and retrieval.","Digital capture pin naming","rdi.digCap(""cap"").pin(""D1"").samples(64).execute();
ARRAY_I a = rdi.id(""cap"").getVector(""DI"");","rdi.digCap(""cap"").pin(""DI"").samples(64).execute();
ARRAY_I a = rdi.id(""cap"").getVector(""DI"");"
110,"BUG: readTempThresh() does not take parameters.","PMUX temperature threshold read","rdi.pmux(1).module(""01"").readTempThresh(60).execute();","rdi.pmux(1).module(""01"").readTempThresh().execute();"
111,"BUG: vForce exceeds configured voltage range.","AVI64 voltage range compliance","rdi.dc().pin(""VS"").vForce(31 V).vForceRange(30 V).execute();","rdi.dc().pin(""VS"").vForce(30 V).vForceRange(30 V).execute();"
112,"BUG: Missing execute() after waveform chaining.","DC waveform execution","rdi.dc().pin(""P1"").waveform(w1).addWaveform(w2);","rdi.dc().pin(""P1"").waveform(w1).addWaveform(w2).execute();"
113,"BUG: push_forward() API removed. Use push_back().","Runtime burst patching","vec.push_forward(""LBL1"");","vec.push_back(""LBL1"");"
114,"BUG: retrievePmuxPinStatus called before transaction end.","PMUX routing status","RDI_BEGIN();
rdi.route().pin(""P01"").setOn().execute();
rdi.route().retrievePmuxPinStatus(""P01"");
RDI_END();","RDI_BEGIN();
rdi.route().pin(""P01"").setOn().execute();
RDI_END();
rdi.route().retrievePmuxPinStatus(""P01"");"
115,"BUG: digCapBurstSiteUpload disabled while requesting upload.","Digital capture upload control","rdi.digCapBurstSiteUpload(false);
rdi.digCap(1).pin(""DATA1"").samples(512).execute();","rdi.digCapBurstSiteUpload(true);
rdi.digCap(1).pin(""DATA1"").samples(512).execute();"
116,"BUG: Sample count exceeds maximum supported limit.","Digital capture sample constraint","rdi.digCap(1).pin(""DATA"").samples(9000).execute();","rdi.digCap(1).pin(""DATA"").samples(8192).execute();"
117,"BUG: getFFV() replaced incorrectly with getFFC().","EMAP first fail vector retrieval","int v = rdi.id(""e1"").getFFC();","int v = rdi.id(""e1"").getFFV();"
118,"BUG: Wrong readMode used for digital capture.","SmartVec read mode configuration","rdi.smartVec().readMode(TA::EMAP);","rdi.smartVec().readMode(TA::DIGCAP);"
119,"BUG: Missing RDI_END leads to session leakage.","RDI lifecycle management","RDI_BEGIN();
rdi.dc().pin(""dig1"").vForce(1 V).execute();","RDI_BEGIN();
rdi.dc().pin(""dig1"").vForce(1 V).execute();
RDI_END();"
120,"BUG: Port name mismatch between initialization and runtime.","Multi-port functional burst","rdi.port(""A"").func(""idd"").burstRunTime(""rt"",100).execute();
ARRAY_I a = rdi.id(""id"").getMultiPassFail();","rdi.port(""A"").func(""id"").burstRunTime(""rt"",100).execute();
ARRAY_I a = rdi.id(""id"").getMultiPassFail();"
